iteration,series,model,train_size,n_train,r2,rmse,pearson,spearman,fit_seconds
iteration_3,71,cnn,500,500,0.6954613485622227,15.36169988048818,0.8359556680459606,0.855824243836671,1.965
iteration_3,71,rf,1000,1000,0.7489170853310222,13.948472377041174,0.8659497429331816,0.8797435979117572,0.274
iteration_3,71,mlp,1000,1000,0.6363087016487338,16.78744184190305,0.8085635998442291,0.8199430570648498,7.104
iteration_3,71,cnn,1000,1000,0.714766839963014,14.866819638531297,0.852198549981124,0.8617162192835532,3.711
iteration_3,71,rf,2000,2000,0.7985825705476748,12.492995700539105,0.8941911414574547,0.9048531515000142,0.583
iteration_3,71,mlp,2000,2000,0.7268147010561776,14.549455090890753,0.8572105687984828,0.8654111788174391,7.364
iteration_3,71,cnn,2000,2000,0.7751757325740006,13.19895838145164,0.8936701307961007,0.8988018965490339,6.695
iteration_3,76,rf,250,250,0.5798781929937284,13.313011132811583,0.7741002760127832,0.7834823428860034,0.13
iteration_3,76,mlp,250,250,0.5096311770791029,14.383020783608904,0.7155247561510036,0.7322657799806892,1.109
iteration_3,76,cnn,250,250,0.6189766271793604,12.678401220459472,0.7998125549760053,0.8022064080998751,0.88
iteration_3,76,rf,500,500,0.6747785375122292,11.71327344662695,0.8235859780456832,0.8333756946341775,0.166
iteration_3,76,mlp,500,500,0.6799205388107165,11.62030658494035,0.825490389293926,0.8217831194148505,1.773
iteration_3,76,cnn,500,500,0.7093919472927099,11.072418823395871,0.8495253692491644,0.8515720138651642,1.881
iteration_3,76,rf,1000,1000,0.7368279329519738,10.536796162685668,0.858734845732308,0.8679408002214893,0.299
iteration_3,76,mlp,1000,1000,0.753083405935308,10.206194058353605,0.8714578744764209,0.8713829456284256,5.304
iteration_3,76,cnn,1000,1000,0.7426867737112935,10.418848856407957,0.8655828797836236,0.8660988293610518,3.789
iteration_3,76,rf,2000,2000,0.8028500396095787,9.119836027061885,0.8960577662625551,0.8988973664397526,0.574
iteration_3,76,mlp,2000,2000,0.8086522246519572,8.984634024610452,0.9014307924059394,0.9012308670635087,7.163
iteration_3,76,cnn,2000,2000,0.8240272647545104,8.616112781638893,0.9113612612106242,0.9111702219843604,7.034
iteration_3,84,rf,250,250,0.2672503913916434,21.054043395664245,0.528131786166617,0.4974423955731812,0.131
iteration_3,84,mlp,250,250,0.048251523149068,23.99489265618672,0.3389695000583454,0.3242544404595225,0.629
iteration_3,84,cnn,250,250,0.3825563453898843,19.32664111313049,0.6425242379437577,0.6138173787269774,0.929
iteration_3,84,rf,500,500,0.3971849598948009,19.09632317674423,0.6307282010678434,0.603448375583997,0.175
iteration_3,84,mlp,500,500,0.3331151056836765,20.08552353927493,0.5820538444966771,0.5619981930092622,1.744
iteration_3,84,cnn,500,500,0.4168984119033933,18.78148069919456,0.6758219345704163,0.6459634305374092,1.819
iteration_3,84,rf,1000,1000,0.5068840355807649,17.271587121463483,0.7154693495688164,0.6891988879489359,0.289
iteration_3,84,mlp,1000,1000,0.3184694170100506,20.30487829596433,0.5962541833998682,0.5946403290022175,4.424
iteration_3,84,cnn,1000,1000,0.5062831039527065,17.282107854474173,0.7246698840362107,0.6941943495566102,3.637
iteration_3,84,rf,2000,2000,0.5956411897035696,15.640159265919786,0.7738352415792705,0.7670697595531153,0.531
iteration_3,84,mlp,2000,2000,0.5901076354314159,15.7468115602237,0.7801086941413058,0.7687415691775017,10.427
iteration_3,84,cnn,2000,2000,0.6259369811753829,15.042849253677778,0.7958198315528727,0.7838148842371895,9.337
iteration_3,86,rf,250,250,0.5983540521320001,18.456190249264708,0.7768345353355557,0.767312904092268,0.117
iteration_3,86,mlp,250,250,0.4538380949565527,21.521922627684926,0.6960285966004882,0.6988681966755458,1.29
iteration_3,86,cnn,250,250,0.5633384187630626,19.2438895211512,0.7764722446815675,0.7710827006903903,0.949
iteration_3,86,rf,500,500,0.648652254814625,17.26191400742432,0.8060424798551428,0.8000431702674635,0.177
iteration_3,86,mlp,500,500,0.5446126629523317,19.652184756341505,0.7522432611456805,0.7655217477280738,4.216
iteration_3,86,cnn,500,500,0.6314696161152875,17.67897221183419,0.8072452229987557,0.8002032077285695,1.737
iteration_3,86,rf,1000,1000,0.6989519908233282,15.978582274015931,0.8360985315331892,0.8227685117420249,0.299
iteration_3,86,mlp,1000,1000,0.6075637954957255,18.243362878850345,0.7939117621882164,0.7967109478795946,4.651
iteration_3,86,cnn,1000,1000,0.7041358578207717,15.840414073845436,0.8469782868670765,0.8355706581796167,3.513
iteration_3,86,rf,2000,2000,0.7635869366457899,14.159766725220091,0.8739642219521605,0.8684389266707362,0.56
iteration_3,86,mlp,2000,2000,0.7222011644784736,15.34919395245946,0.8592947912612743,0.8581383481507743,21.63
iteration_3,86,cnn,2000,2000,0.7877512036579372,13.416615738048195,0.8918276348177143,0.8847175953718404,6.726
iteration_3,88,rf,250,250,0.1409914656908587,19.529607946919025,0.4036857686388549,0.3838719123990716,0.138
iteration_3,88,mlp,250,250,0.128618615353932,19.669753826943925,0.3710157326311217,0.3708869226740598,1.033
iteration_3,88,cnn,250,250,0.2004769024005519,18.84127520107012,0.5074347518569063,0.4997058167732836,0.9
iteration_3,88,rf,500,500,0.3486737681802465,17.005682657176354,0.6001181096492787,0.5766791518811651,0.162
iteration_3,88,mlp,500,500,0.1645689999236533,19.259724874451297,0.4075517595123532,0.4146318993485448,1.318
iteration_3,88,cnn,500,500,0.3362565798666153,17.167019486494695,0.6037508297561632,0.6087274933411229,1.868
iteration_3,88,rf,1000,1000,0.4976878425227683,14.934188560266575,0.7134933127977198,0.6998544380577053,0.304
iteration_3,88,mlp,1000,1000,0.3315109716990327,17.22828024219288,0.6067880233697138,0.6182393600564167,4.757
iteration_3,88,cnn,1000,1000,0.4826847755414276,15.155574913110009,0.7156880565176068,0.705355794044086,3.69
iteration_3,88,rf,2000,2000,0.6208978768885469,12.973970139016648,0.7905457071508742,0.785634801426322,0.598
iteration_3,88,mlp,2000,2000,0.4549029125229377,15.55721008481158,0.6987068491549753,0.7037792692433337,18.83
iteration_3,88,cnn,2000,2000,0.6025421889842995,13.28434983269874,0.7850948844366443,0.7882993893364628,6.675
